"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2011,201110,"October 2011",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,4190,NA,23740,NA,NA,0
"HS",2011,201111,"November 2011",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,240,NA,1440,NA,NA,0
"HS",2011,201112,"December 2011",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,3942,NA,23652,NA,NA,0
"HS",2011,201103,"March 2011",6,1,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,155,NA,648,NA,NA,0
"HS",2011,201107,"July 2011",6,1,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,20000,NA,62704,NA,NA,0
"HS",2011,201101,"January 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,4540,NA,19000,NA,NA,0
"HS",2011,201102,"February 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,2220,NA,4500,NA,NA,0
"HS",2011,201103,"March 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,8140,NA,17300,NA,NA,0
"HS",2011,201104,"April 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,29062,NA,152500,NA,NA,0
"HS",2011,201106,"June 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,20740,NA,111300,NA,NA,0
"HS",2011,201108,"August 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,20296,NA,96600,NA,NA,0
"HS",2011,201109,"September 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,740,NA,1500,NA,NA,0
"HS",2011,201110,"October 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,40740,NA,221100,NA,NA,0
"HS",2011,201111,"November 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,21850,NA,96900,NA,NA,0
"HS",2011,201112,"December 2011",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1581,NA,3600,NA,NA,0
"HS",2011,201107,"July 2011",6,1,1,"Imports",233,"Estonia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,20000,NA,62762,NA,NA,0
"HS",2011,201110,"October 2011",6,1,1,"Imports",268,"Georgia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,5400,NA,23652,NA,NA,0
"HS",2011,201103,"March 2011",6,1,1,"Imports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,155,NA,648,NA,NA,0
"HS",2011,201101,"January 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,121883,NA,452285,NA,NA,0
"HS",2011,201102,"February 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,170674,NA,723230,NA,NA,0
"HS",2011,201103,"March 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,215673,NA,624064,NA,NA,0
"HS",2011,201104,"April 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,75219,NA,259592,NA,NA,0
"HS",2011,201105,"May 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,92004,NA,340094,NA,NA,0
"HS",2011,201106,"June 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,108578,NA,418114,NA,NA,0
"HS",2011,201107,"July 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,49000,NA,200400,NA,NA,0
"HS",2011,201108,"August 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,42100,NA,187400,NA,NA,0
"HS",2011,201109,"September 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,138200,NA,504600,NA,NA,0
"HS",2011,201110,"October 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,184700,NA,504400,NA,NA,0
"HS",2011,201111,"November 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,117100,NA,482600,NA,NA,0
"HS",2011,201112,"December 2011",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,152500,NA,526200,NA,NA,0
"HS",2011,201101,"January 2011",6,1,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,3496,NA,17824,NA,NA,0
"HS",2011,201102,"February 2011",6,1,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,19600,NA,31647,NA,NA,0
"HS",2011,201105,"May 2011",6,1,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,23096,NA,49471,NA,NA,0
"HS",2011,201107,"July 2011",6,1,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,23096,NA,49471,NA,NA,0
"HS",2011,201108,"August 2011",6,1,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,23096,NA,49471,NA,NA,0
"HS",2011,201109,"September 2011",6,1,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,19600,NA,35007,NA,NA,0
"HS",2011,201111,"November 2011",6,1,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,11500,NA,19456,NA,NA,0
"HS",2011,201101,"January 2011",6,1,1,"Imports",842,"United States of America",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,NA,NA,3161,NA,NA,0
"HS",2011,201103,"March 2011",6,1,1,"Imports",842,"United States of America",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,NA,NA,3139,NA,NA,0
