"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2020,202001,"January 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,100,NA,712,NA,NA,0
"HS",2020,202002,"February 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1300,NA,8597,NA,NA,0
"HS",2020,202003,"March 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,40696,NA,192964,NA,NA,0
"HS",2020,202004,"April 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,12094,NA,63535,NA,NA,0
"HS",2020,202005,"May 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,2843,NA,16584,NA,NA,0
"HS",2020,202006,"June 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1207,NA,6864,NA,NA,0
"HS",2020,202007,"July 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,947,NA,6636,NA,NA,0
"HS",2020,202008,"August 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,500,NA,2767,NA,NA,0
"HS",2020,202009,"September 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,27906,NA,121736,NA,NA,0
"HS",2020,202010,"October 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,560,NA,2895,NA,NA,0
"HS",2020,202011,"November 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,41255,NA,172896,NA,NA,0
"HS",2020,202012,"December 2020",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,41149,NA,194292,NA,NA,0
"HS",2020,202001,"January 2020",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,60,NA,856,NA,NA,0
"HS",2020,202002,"February 2020",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,40,NA,389,NA,NA,0
"HS",2020,202003,"March 2020",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,7269,NA,31665,NA,NA,0
"HS",2020,202004,"April 2020",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,20463,NA,110742,NA,NA,0
