"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2013,201301,"January 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,94000,NA,113524,NA,NA,0
"HS",2013,201302,"February 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,78000,NA,36846,NA,NA,0
"HS",2013,201303,"March 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,39000,NA,17992,NA,NA,0
"HS",2013,201304,"April 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,38998,NA,17587,NA,NA,0
"HS",2013,201305,"May 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,98500,NA,235381,NA,NA,0
"HS",2013,201306,"June 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,80000,NA,416219,NA,NA,0
"HS",2013,201307,"July 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,80000,NA,401037,NA,NA,0
"HS",2013,201308,"August 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,79000,NA,228180,NA,NA,0
"HS",2013,201309,"September 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,138497,NA,447471,NA,NA,0
"HS",2013,201310,"October 2013",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,119000,NA,450287,NA,NA,0
"HS",2013,201302,"February 2013",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,50,NA,387,NA,NA,0
"HS",2013,201303,"March 2013",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,642,NA,3963,NA,NA,0
